AGENT_ID,TOTAL_POLICIES,FRAUD_CASES_HANDLED,AVG_CLAIM_AMOUNT,APPROVAL_RATE,CUSTOMER_COMPLAINTS,YEARS_EXPERIENCE,PERFORMANCE_SCORE,STATE
AGT0124,46,28,1952,0.767,4,21,64.57,TX
AGT0113,309,19,2475,0.925,8,23,82.46,GA
AGT0039,138,29,14103,0.652,4,3,63.2,IL
AGT0019,390,8,7327,0.751,14,19,88.81,MI
AGT0041,302,19,17611,0.498,10,1,59.17,NC
AGT0081,35,0,15621,0.716,4,8,95.36,NC
AGT0061,348,4,1432,0.801,3,20,70.01,WA
AGT0110,134,19,18768,0.82,6,18,52.77,IL
AGT0157,437,9,19115,0.935,12,15,54.99,GA
AGT0149,22,16,5687,0.943,14,17,76.65,TX
AGT0166,189,28,12638,0.684,7,4,95.55,CA
AGT0060,13,23,13195,0.873,2,19,75.77,FL
AGT0188,320,10,1713,0.805,0,3,72.51,FL
AGT0175,244,20,14899,0.689,8,8,88.64,FL
AGT0070,271,27,19400,0.417,9,3,61.34,GA
AGT0051,353,7,8676,0.937,5,13,83.83,NY
AGT0178,449,16,19734,0.931,13,21,60.91,NC
AGT0200,197,21,13721,0.685,0,22,92.27,TX
AGT0094,289,19,14966,0.589,4,1,94.07,NY
AGT0024,314,14,11433,0.461,11,24,59.73,OH
AGT0122,441,12,14138,0.43,3,5,57.18,WA
AGT0167,103,17,18806,0.842,2,9,86.17,NY
AGT0094,266,14,12217,0.625,10,7,82.64,OH
AGT0027,419,10,11235,0.71,13,12,81.08,IL
AGT0148,147,26,4224,0.566,2,1,75.47,CA
AGT0152,187,23,10815,0.738,6,8,56.45,FL
AGT0175,230,19,17408,0.817,14,8,85.97,FL
AGT0173,356,5,13716,0.891,2,18,58.12,IL
AGT0096,338,15,14606,0.673,2,21,77.14,TX
AGT0063,73,6,3893,0.565,3,1,67.33,NC
AGT0034,110,4,17092,0.442,7,10,66.58,IL
AGT0021,410,7,11088,0.87,12,23,91.61,CA
AGT0166,340,4,9664,0.869,6,23,72.81,NY
AGT0200,263,23,1963,0.594,5,14,74.67,OH
AGT0129,215,15,17967,0.514,12,19,94.81,FL
AGT0195,485,21,12913,0.77,3,7,77.92,GA
AGT0062,442,29,6929,0.816,5,20,90.07,NC
AGT0152,208,8,11158,0.797,3,1,93.14,GA
AGT0080,182,5,18274,0.439,1,13,84.76,GA
AGT0078,437,4,16948,0.941,8,14,57.2,WA
AGT0129,179,0,6657,0.699,14,5,55.96,OH
AGT0027,211,0,16156,0.735,3,15,71.71,NC
AGT0083,459,17,1151,0.425,1,23,53.16,NY
AGT0084,62,20,9218,0.406,14,17,65.04,NC
AGT0087,354,8,11420,0.469,1,4,60.42,OH
AGT0145,346,16,13520,0.615,0,13,51.93,MI
AGT0056,195,6,1018,0.92,11,17,69.96,CA
AGT0031,99,21,6762,0.8,2,13,62.45,WA
AGT0123,431,21,5885,0.95,14,4,55.1,FL
AGT0004,401,21,8368,0.774,6,8,86.51,MI
AGT0198,430,15,14142,0.455,10,11,95.63,NY
AGT0181,174,25,2482,0.782,3,5,81.04,GA
AGT0077,481,2,15247,0.753,3,11,96.47,NY
AGT0140,380,12,2913,0.887,11,7,58.32,MI
AGT0104,127,1,10631,0.699,7,4,88.4,NC
AGT0139,245,24,16556,0.535,13,9,70.43,NY
AGT0044,165,2,17700,0.803,13,1,74.48,TX
AGT0190,273,13,19466,0.814,9,19,83.21,WA
AGT0177,102,5,9199,0.683,11,1,89.18,WA
AGT0105,369,21,10295,0.452,12,3,52.99,TX
AGT0176,235,12,18121,0.628,8,8,69.41,NY
AGT0064,335,16,3431,0.862,12,16,88.25,FL
AGT0158,324,28,18277,0.567,0,11,76.75,FL
AGT0182,335,27,2678,0.802,2,1,67.08,TX
AGT0140,382,12,2729,0.539,7,9,52.03,NC
AGT0198,332,11,1862,0.581,1,2,50.37,NC
AGT0043,262,8,5378,0.585,6,11,71.26,GA
AGT0005,296,20,17696,0.475,9,7,74.18,IL
AGT0106,319,29,4942,0.593,5,22,61.46,WA
AGT0067,405,17,9401,0.798,14,9,89.98,NC
AGT0128,243,16,16302,0.621,13,15,86.17,CA
AGT0073,157,29,17727,0.565,12,5,59.41,OH
AGT0174,133,5,9336,0.785,10,12,59.4,TX
AGT0023,98,2,7893,0.684,9,22,93.24,IL
AGT0193,305,2,9823,0.64,9,1,95.96,NY
AGT0045,370,17,12173,0.838,1,8,99.23,MI
AGT0066,165,26,7120,0.61,14,9,84.32,MI
AGT0005,274,6,13802,0.699,11,12,96.45,IL
AGT0136,192,21,16341,0.417,4,10,57.43,NC
AGT0140,451,26,1950,0.587,10,24,57.79,GA
AGT0186,454,27,16607,0.53,6,4,52.08,OH
AGT0022,482,23,13950,0.887,14,7,76.93,MI
AGT0097,431,11,2112,0.412,8,12,61.06,GA
AGT0178,434,19,16194,0.785,10,15,78.44,FL
AGT0007,283,16,10414,0.816,2,2,50.38,NY
AGT0117,278,14,1419,0.583,1,18,76.45,IL
AGT0046,157,21,2553,0.541,13,13,94.45,MI
AGT0072,379,20,2117,0.491,9,7,86.3,TX
AGT0152,166,24,8732,0.552,9,10,68.35,IL
AGT0162,173,16,10919,0.903,6,2,53.41,OH
AGT0002,473,19,5567,0.424,9,16,62.26,WA
AGT0131,17,8,19456,0.651,6,19,75.17,NC
AGT0079,67,14,1594,0.545,9,24,62.87,FL
AGT0151,392,24,19491,0.783,9,7,88.82,CA
AGT0169,345,23,3870,0.584,3,7,96.76,TX
AGT0176,392,15,3081,0.59,13,8,58.81,CA
AGT0021,238,17,10343,0.432,14,4,50.28,IL
AGT0162,13,7,15456,0.901,11,10,54.2,NC
AGT0193,155,11,13558,0.687,0,3,90.14,GA
AGT0156,433,19,16073,0.438,0,1,52.69,NC
AGT0076,336,3,9607,0.813,12,9,87.32,OH
AGT0146,441,0,17662,0.829,2,21,70.26,IL
AGT0014,14,17,15517,0.654,14,24,71.3,MI
AGT0076,167,21,1826,0.939,5,21,86.54,NY
AGT0165,346,29,10536,0.524,2,23,66.0,OH
AGT0131,18,14,19476,0.864,10,21,90.52,FL
AGT0054,230,3,14799,0.866,10,16,54.72,NY
AGT0114,439,19,16612,0.687,9,5,85.93,CA
AGT0001,89,9,14678,0.697,11,20,95.18,GA
AGT0193,44,4,12546,0.462,7,24,58.21,OH
AGT0111,322,18,7361,0.473,4,12,77.74,NY
AGT0101,123,21,2269,0.633,6,16,82.05,GA
AGT0067,100,1,6729,0.905,9,10,56.64,TX
AGT0045,275,21,5563,0.518,11,15,77.16,MI
AGT0066,307,17,14764,0.661,6,1,62.61,CA
AGT0092,410,22,7585,0.435,1,18,87.68,OH
AGT0086,60,18,7721,0.565,6,13,78.4,FL
AGT0083,393,14,17290,0.605,8,19,70.53,TX
AGT0102,338,10,4716,0.93,11,9,87.13,TX
AGT0094,343,19,15461,0.506,12,10,86.59,NY
AGT0062,126,5,7694,0.455,11,4,60.52,GA
AGT0117,416,16,18873,0.43,4,15,51.28,NC
AGT0050,70,22,19148,0.687,0,23,62.41,WA
AGT0190,345,6,9028,0.686,3,15,94.13,GA
AGT0134,75,2,15856,0.508,1,22,69.84,IL
AGT0057,322,0,18419,0.536,10,1,60.07,NC
AGT0139,231,16,12463,0.575,4,18,68.44,MI
AGT0194,92,12,18018,0.405,2,1,69.16,IL
AGT0153,105,19,13981,0.849,8,11,72.7,IL
AGT0156,225,24,1351,0.825,7,12,72.5,CA
AGT0044,189,29,12552,0.576,10,12,64.9,CA
AGT0037,231,9,5545,0.716,13,14,64.97,MI
AGT0113,222,3,12226,0.58,1,19,89.99,MI
AGT0057,19,22,16197,0.415,0,17,83.15,NY
AGT0025,220,0,4762,0.724,12,2,83.97,WA
AGT0182,208,19,13636,0.797,13,19,59.53,CA
AGT0070,201,8,11287,0.584,5,10,99.59,WA
AGT0161,121,10,5234,0.533,2,15,54.35,OH
AGT0147,104,3,15429,0.545,4,23,84.13,OH
AGT0029,53,0,15847,0.592,7,7,87.17,NC
AGT0038,316,5,1126,0.657,0,15,63.36,FL
AGT0117,277,12,7014,0.815,1,15,53.85,IL
AGT0125,407,8,2394,0.509,0,13,86.87,FL
AGT0056,126,11,12440,0.788,10,7,78.28,GA
AGT0031,209,3,17748,0.931,6,18,98.28,IL
AGT0126,103,4,18758,0.499,14,20,86.38,IL
AGT0048,470,22,8530,0.679,6,23,96.48,NC
AGT0035,395,24,5552,0.599,4,11,81.71,MI
AGT0076,82,22,6961,0.73,4,4,74.9,MI
AGT0071,406,28,2051,0.884,13,22,97.24,NC
AGT0081,462,21,7645,0.887,2,15,90.94,TX
AGT0078,333,3,13542,0.644,10,4,51.75,NC
AGT0114,495,22,1347,0.817,13,19,79.15,NC
AGT0108,102,6,14840,0.681,14,17,57.47,CA
AGT0008,151,23,17031,0.825,1,20,97.4,TX
AGT0048,320,18,6938,0.886,10,11,83.79,OH
AGT0101,273,25,15589,0.791,12,12,72.57,NY
AGT0146,359,28,9899,0.433,10,4,97.99,NC
AGT0007,483,20,19778,0.535,12,11,66.82,NC
AGT0162,124,28,10520,0.832,14,14,72.21,FL
AGT0019,437,16,12394,0.411,13,21,69.95,CA
AGT0128,75,27,16502,0.685,10,6,56.59,FL
AGT0044,235,2,6204,0.736,2,2,57.49,WA
AGT0181,222,13,14168,0.851,12,8,79.55,WA
AGT0139,405,22,17170,0.844,10,5,53.48,OH
AGT0159,217,29,6186,0.44,4,11,96.55,MI
AGT0163,416,26,16328,0.774,9,17,66.38,OH
AGT0009,85,10,6187,0.835,2,9,66.05,WA
AGT0170,496,18,12589,0.458,12,9,56.98,TX
AGT0017,103,2,7174,0.667,9,10,67.55,IL
AGT0109,299,3,12947,0.757,9,24,84.56,TX
AGT0132,254,21,3773,0.588,3,10,97.87,TX
AGT0180,54,9,16384,0.604,2,18,59.63,TX
AGT0145,268,16,3551,0.457,6,1,58.88,CA
AGT0143,437,6,7368,0.826,5,3,56.95,WA
AGT0194,273,23,16530,0.53,12,9,78.7,NC
AGT0004,354,2,2827,0.639,14,13,55.85,IL
AGT0001,491,18,16802,0.684,9,10,54.41,MI
AGT0039,158,20,8614,0.448,11,7,87.2,OH
AGT0048,29,24,5941,0.637,14,15,89.66,IL
AGT0100,347,7,16796,0.484,11,7,65.73,IL
AGT0167,395,10,17157,0.528,5,12,79.07,IL
AGT0079,79,16,17370,0.596,3,3,87.12,IL
AGT0179,182,8,11843,0.669,4,5,52.45,MI
AGT0129,185,22,4759,0.639,4,22,81.74,WA
AGT0093,378,22,14530,0.439,3,15,64.31,TX
AGT0159,439,22,14364,0.593,10,8,70.46,NC
AGT0097,370,14,17728,0.422,14,1,67.81,CA
AGT0009,155,18,15004,0.538,3,19,85.92,NC
AGT0171,313,5,6858,0.447,6,8,73.44,WA
AGT0027,141,5,9503,0.492,14,11,88.0,NC
AGT0092,319,11,13582,0.676,13,15,65.75,OH
AGT0032,482,6,15766,0.91,0,2,77.06,WA
AGT0158,335,24,6862,0.507,5,15,95.35,NC
AGT0128,394,7,5939,0.802,5,24,71.9,NC
AGT0190,376,27,18155,0.424,4,5,78.82,WA
AGT0174,243,12,19850,0.585,14,23,83.53,OH
AGT0053,74,22,6692,0.621,11,9,95.62,MI
AGT0051,488,2,2240,0.46,0,1,81.81,MI
AGT0055,186,21,12881,0.75,9,11,80.62,IL
AGT0031,444,13,1301,0.48,8,5,91.68,NC
AGT0188,422,24,4629,0.84,7,10,99.59,GA
AGT0017,345,5,11005,0.725,10,5,94.95,WA
AGT0085,278,6,8025,0.808,6,17,56.24,GA
AGT0057,144,25,1930,0.49,10,9,83.82,NC
AGT0004,77,17,7676,0.574,6,18,66.43,WA
AGT0167,437,16,13813,0.788,14,6,70.72,CA
AGT0101,481,17,15256,0.649,12,1,82.27,TX
AGT0176,339,10,15294,0.748,0,8,57.26,NY
AGT0124,494,28,6445,0.627,2,18,84.63,GA
AGT0100,116,16,13599,0.77,5,24,64.68,IL
AGT0049,261,0,7220,0.753,0,22,90.96,MI
AGT0119,95,8,13368,0.565,1,1,68.58,CA
AGT0146,271,29,1178,0.885,0,22,52.5,NY
AGT0006,446,14,8779,0.803,13,10,79.94,TX
AGT0047,153,21,7000,0.438,7,2,87.49,NC
AGT0073,216,0,13677,0.421,11,6,80.84,FL
AGT0024,262,0,6170,0.794,12,22,88.94,FL
AGT0017,237,6,6696,0.748,2,15,90.21,GA
AGT0050,484,15,11347,0.908,10,4,52.11,CA
AGT0069,218,18,13419,0.772,9,20,50.09,WA
AGT0107,134,2,8633,0.515,14,9,61.22,CA
AGT0163,170,27,17951,0.423,13,3,61.24,NY
AGT0172,159,18,19628,0.693,9,10,78.15,OH
AGT0077,164,10,12520,0.673,10,19,61.45,CA
AGT0106,449,13,11376,0.916,7,8,68.24,CA
AGT0003,261,15,10893,0.79,8,4,72.68,WA
AGT0170,198,23,2382,0.895,8,8,80.04,OH
AGT0047,79,2,8819,0.816,13,20,99.84,CA
AGT0013,486,17,16380,0.763,13,5,84.43,NY
AGT0121,85,15,14170,0.71,3,12,63.29,NY
AGT0075,181,23,2012,0.719,0,16,67.54,CA
AGT0083,352,10,3631,0.679,3,2,52.18,OH
AGT0088,12,11,16907,0.861,6,14,70.98,FL
AGT0126,164,24,14960,0.529,3,19,79.46,GA
AGT0161,477,25,8703,0.903,6,15,97.47,NC
AGT0115,21,24,18894,0.708,6,5,63.4,IL
AGT0123,126,25,2171,0.641,14,13,62.18,NY
AGT0162,52,3,15470,0.516,6,22,50.86,GA
AGT0158,350,19,19569,0.552,2,6,78.73,NC
AGT0035,15,20,9308,0.721,6,4,99.79,NY
AGT0068,33,7,10413,0.483,0,15,68.55,MI
AGT0099,241,13,5036,0.402,0,11,74.89,FL
AGT0187,376,29,17241,0.543,9,16,52.91,NC
AGT0122,453,4,14787,0.567,3,15,78.55,NY
AGT0163,117,24,8990,0.918,9,2,60.5,GA
AGT0159,290,9,5457,0.72,0,18,50.77,WA
AGT0184,402,25,9770,0.623,4,24,84.19,NC
AGT0104,367,16,9587,0.941,8,4,57.39,NY
AGT0053,483,0,7884,0.602,8,14,55.06,OH
AGT0083,47,3,16945,0.927,8,9,61.41,FL
AGT0002,32,24,8009,0.918,8,16,56.88,IL
AGT0137,346,23,3169,0.779,4,15,81.14,GA
AGT0124,190,6,16075,0.689,5,14,63.35,CA
AGT0034,371,19,14873,0.852,6,4,83.55,NY
AGT0099,360,15,1584,0.578,6,17,77.3,WA
AGT0144,226,1,14215,0.602,11,17,67.68,WA
AGT0156,498,21,10307,0.514,2,16,59.67,MI
AGT0156,442,4,13797,0.54,8,5,83.64,NC
AGT0020,187,12,6045,0.475,11,20,76.22,GA
AGT0075,12,0,4382,0.868,5,6,86.04,OH
AGT0120,497,7,11577,0.401,5,4,75.31,GA
AGT0022,484,28,2030,0.633,10,8,90.1,FL
AGT0040,450,15,5089,0.6,9,4,77.49,OH
AGT0189,37,21,1843,0.613,8,9,90.67,OH
AGT0103,362,8,7626,0.864,6,6,77.49,CA
AGT0116,480,1,18218,0.852,0,2,98.09,FL
AGT0032,197,18,11131,0.765,2,24,92.66,NY
AGT0127,379,7,15031,0.779,7,17,62.71,GA
AGT0183,273,3,15094,0.842,10,9,86.41,NY
AGT0192,237,14,3402,0.612,3,10,56.6,FL
AGT0037,362,12,18973,0.648,6,8,95.55,NC
AGT0045,294,3,3931,0.535,3,18,67.28,OH
AGT0116,346,17,5619,0.531,2,6,73.87,GA
AGT0178,119,13,13456,0.914,13,3,51.03,NY
AGT0002,151,29,10175,0.818,14,12,93.38,NY
AGT0046,323,2,5084,0.649,14,6,97.4,OH
AGT0032,283,14,7624,0.421,13,22,73.53,NY
AGT0158,197,23,8762,0.809,6,9,59.4,WA
AGT0100,419,12,12514,0.922,10,17,84.69,MI
AGT0143,177,6,16021,0.91,4,10,64.85,WA
AGT0009,242,29,7963,0.793,8,5,98.0,NC
AGT0027,164,9,8455,0.756,3,8,65.56,CA
AGT0109,287,27,2842,0.466,9,21,78.79,MI
AGT0084,285,25,19148,0.447,6,2,52.47,FL
AGT0037,170,20,12673,0.546,5,23,99.49,NY
AGT0053,389,23,5938,0.71,1,1,78.81,IL
AGT0146,88,16,1675,0.902,3,18,98.77,IL
AGT0003,387,20,19040,0.879,6,17,65.04,MI
AGT0174,42,8,1817,0.568,8,15,76.36,OH
AGT0032,132,1,4460,0.601,12,2,50.92,OH
AGT0152,208,18,17800,0.571,11,17,88.54,TX
AGT0126,217,24,7422,0.692,8,2,58.33,NC
AGT0013,319,25,17535,0.845,7,18,71.27,NY
AGT0153,469,22,11457,0.831,7,19,83.5,GA
AGT0100,382,29,11691,0.887,13,21,54.11,IL
AGT0061,276,17,18708,0.687,12,10,89.18,GA
AGT0023,51,5,1342,0.762,5,16,90.29,GA
AGT0024,496,6,7607,0.925,8,5,76.56,OH
AGT0082,166,8,7519,0.772,5,13,80.25,IL
AGT0059,313,29,14922,0.492,8,18,54.71,NC
AGT0168,405,26,7579,0.58,6,5,72.44,TX
AGT0109,352,21,17728,0.442,12,20,92.06,WA
AGT0009,65,25,14696,0.461,10,9,54.47,IL
AGT0176,137,10,18246,0.671,2,23,99.44,WA
AGT0051,496,21,16426,0.806,0,3,74.3,OH
AGT0122,386,5,15195,0.504,14,6,50.64,TX
AGT0166,320,3,7730,0.576,5,18,67.0,GA
AGT0134,228,19,14823,0.585,2,5,75.03,OH
AGT0082,470,21,9013,0.862,11,24,97.95,MI
AGT0002,366,17,7522,0.501,7,23,85.26,MI
AGT0048,367,14,5268,0.419,8,3,79.05,FL
AGT0114,458,18,18021,0.743,9,21,98.33,NC
AGT0190,482,11,14830,0.69,4,11,64.75,OH
AGT0008,431,8,1935,0.401,8,21,68.99,IL
AGT0032,336,7,7633,0.821,9,17,88.41,IL
AGT0072,122,10,12023,0.633,9,8,79.72,GA
AGT0158,141,9,14404,0.701,13,1,60.95,GA
AGT0191,85,4,6831,0.769,5,8,87.55,MI
AGT0036,402,16,14431,0.428,7,11,63.36,MI
AGT0117,173,12,6176,0.495,11,13,77.94,FL
AGT0193,120,4,3968,0.655,11,20,92.81,IL
AGT0200,365,27,2656,0.495,14,20,63.76,WA
AGT0158,286,15,17824,0.464,2,8,88.06,MI
AGT0156,130,4,13493,0.579,13,5,93.07,IL
AGT0056,192,1,16665,0.635,7,16,65.86,CA
AGT0062,245,2,11189,0.867,3,18,59.83,FL
AGT0197,401,12,12077,0.727,4,15,93.29,WA
AGT0125,13,7,6529,0.911,5,15,73.32,NC
AGT0023,382,28,2640,0.651,14,17,65.57,NC
AGT0014,48,14,14587,0.66,1,10,50.52,NC
AGT0172,433,22,4177,0.571,3,6,59.7,TX
AGT0026,67,7,17619,0.445,10,19,75.64,OH
AGT0140,131,2,2751,0.495,14,5,91.45,GA
AGT0065,190,10,19562,0.437,1,2,75.12,CA
AGT0035,498,20,9808,0.787,6,1,63.82,OH
AGT0023,205,22,6373,0.592,6,10,96.46,FL
AGT0110,404,5,6044,0.417,7,12,68.46,WA
AGT0161,135,8,13878,0.814,11,14,58.14,FL
AGT0003,199,14,16785,0.54,7,5,97.27,NY
AGT0141,263,10,10032,0.891,2,11,69.82,MI
AGT0115,72,8,9283,0.853,3,16,74.12,GA
AGT0159,24,29,17696,0.567,11,7,91.49,WA
AGT0117,181,28,9589,0.53,3,14,64.39,OH
AGT0026,395,10,7284,0.946,7,7,76.44,TX
AGT0082,62,1,18516,0.851,5,21,93.31,FL
AGT0198,411,10,16248,0.91,6,11,62.81,TX
AGT0165,311,26,11977,0.409,11,20,94.71,MI
AGT0071,144,26,1211,0.729,3,9,59.57,CA
AGT0187,65,21,8359,0.547,10,9,92.72,NC
AGT0002,279,20,19573,0.606,11,19,69.67,IL
AGT0107,220,10,19685,0.45,14,8,77.41,OH
AGT0155,63,13,13792,0.812,6,18,77.57,MI
AGT0135,337,26,9786,0.689,1,2,60.25,WA
AGT0036,420,6,17332,0.836,10,21,58.65,FL
AGT0030,232,12,12013,0.464,11,19,85.57,WA
AGT0149,231,26,2138,0.949,0,14,91.27,WA
AGT0200,442,20,8258,0.592,2,12,56.85,MI
AGT0153,199,3,7155,0.923,5,9,87.58,TX
AGT0172,128,23,13714,0.772,7,9,66.35,TX
AGT0183,425,2,5171,0.46,7,8,79.72,CA
AGT0190,266,8,15740,0.83,2,17,76.73,MI
AGT0158,469,27,5623,0.708,2,5,87.17,WA
AGT0156,457,2,12944,0.504,14,7,77.1,NY
AGT0158,407,5,6716,0.503,10,10,54.67,OH
AGT0065,183,26,5719,0.924,7,12,63.96,OH
AGT0109,361,20,14395,0.949,4,7,69.9,NY
AGT0045,241,6,18903,0.717,7,11,78.6,WA
AGT0107,384,10,16198,0.503,14,20,58.48,WA
AGT0103,467,27,10722,0.587,4,7,66.87,FL
AGT0014,368,18,18375,0.517,4,5,53.16,OH
AGT0017,254,9,16694,0.734,6,19,66.13,TX
AGT0191,496,4,18439,0.62,2,7,75.61,CA
AGT0111,433,12,1167,0.608,1,17,96.82,MI
AGT0007,129,9,16453,0.841,13,23,58.89,MI
AGT0074,470,12,10837,0.93,10,13,51.38,CA
AGT0179,245,1,14270,0.508,5,14,68.86,OH
AGT0146,135,14,18776,0.628,8,17,80.38,TX
AGT0165,154,7,10873,0.695,7,4,80.38,OH
AGT0126,395,28,14075,0.535,1,3,67.28,NY
AGT0141,198,8,19671,0.621,11,5,51.88,OH
AGT0050,330,7,3169,0.431,1,11,95.95,NC
AGT0169,227,9,15102,0.423,8,21,75.09,CA
AGT0147,493,18,14489,0.832,4,15,88.83,IL
AGT0048,76,21,4616,0.587,6,21,69.85,NY
AGT0063,296,8,1285,0.789,7,10,91.57,NY
AGT0154,184,20,13018,0.446,6,20,89.23,WA
AGT0050,398,3,8004,0.769,3,18,54.76,WA
AGT0134,472,5,6955,0.759,1,3,52.56,GA
AGT0084,179,8,5497,0.852,1,13,57.48,NC
AGT0058,454,20,11347,0.513,10,16,91.14,NY
AGT0032,307,16,5785,0.703,1,10,63.48,GA
AGT0145,37,13,2412,0.896,7,19,69.79,IL
AGT0066,391,18,1788,0.521,4,10,78.92,NY
AGT0112,280,5,5932,0.469,10,18,82.59,NC
AGT0052,483,7,12725,0.59,9,18,71.32,MI
AGT0030,234,21,11033,0.931,2,6,72.46,NY
AGT0005,133,29,15096,0.487,10,2,66.41,FL
AGT0188,94,0,12379,0.466,9,22,54.7,IL
AGT0061,48,10,6544,0.949,4,21,57.42,WA
AGT0116,355,26,18436,0.616,12,23,94.49,NC
AGT0094,488,24,12150,0.482,6,2,98.74,FL
AGT0074,326,7,12757,0.707,0,17,91.27,GA
AGT0166,305,1,10450,0.408,9,4,65.29,MI
AGT0183,23,17,9040,0.634,6,12,58.92,NY
AGT0037,18,20,19869,0.42,5,20,75.46,WA
AGT0007,254,7,8399,0.711,6,7,54.73,WA
AGT0066,264,9,16434,0.744,14,9,95.75,FL
AGT0021,218,20,2592,0.402,5,12,88.4,GA
AGT0006,468,16,18974,0.682,10,12,98.68,FL
AGT0162,171,8,15381,0.92,12,1,92.8,GA
AGT0016,492,25,16662,0.619,8,9,70.44,CA
AGT0015,139,27,7067,0.925,13,21,65.71,GA
AGT0072,169,21,13495,0.93,7,3,91.71,NY
AGT0114,156,28,15354,0.532,3,9,79.39,OH
AGT0100,393,10,2352,0.718,7,15,93.93,OH
AGT0150,172,3,13335,0.857,1,10,66.26,WA
AGT0150,234,21,17299,0.79,4,17,77.32,CA
AGT0004,64,16,17109,0.818,3,7,73.12,OH
AGT0153,205,12,15459,0.544,1,5,59.16,TX
AGT0009,107,7,17976,0.905,2,23,77.05,GA
AGT0183,381,1,6361,0.53,12,19,54.17,IL
AGT0062,408,5,14090,0.755,12,8,68.75,TX
AGT0182,142,19,6118,0.887,13,3,76.67,TX
AGT0200,494,6,17394,0.598,0,11,57.26,TX
AGT0021,218,28,10960,0.704,14,19,87.68,NC
AGT0077,419,14,16725,0.78,5,15,59.54,WA
AGT0023,130,2,6377,0.911,6,17,86.43,NY
AGT0194,430,19,6830,0.646,2,13,51.2,NY
AGT0100,79,20,19441,0.732,14,22,84.44,CA
AGT0168,187,5,18180,0.478,14,3,70.02,TX
AGT0118,195,25,4677,0.436,10,20,89.51,TX
AGT0170,101,22,8348,0.412,1,24,78.1,WA
AGT0120,480,17,3914,0.662,6,21,69.0,NY
AGT0010,153,3,13089,0.7,4,7,83.19,NC
AGT0098,215,14,1826,0.447,13,23,69.4,TX
AGT0131,18,29,1492,0.5,9,24,67.81,TX
AGT0197,344,7,11499,0.546,14,21,71.28,FL
AGT0167,97,28,18008,0.89,12,8,85.52,TX
AGT0102,149,5,15066,0.455,8,20,80.75,FL
AGT0162,459,18,14218,0.669,4,21,95.83,FL
AGT0188,434,11,12140,0.834,11,5,50.02,IL
AGT0176,66,2,4436,0.879,10,7,58.05,TX
AGT0198,316,19,4957,0.781,11,19,74.7,OH
AGT0072,376,14,12725,0.546,13,20,83.48,NY
AGT0089,475,9,18545,0.467,9,16,54.48,GA
AGT0003,128,6,1906,0.487,10,13,64.71,OH
AGT0027,169,14,8206,0.824,6,24,99.43,WA
AGT0164,126,3,4581,0.563,7,9,66.38,GA
AGT0066,273,17,3675,0.586,2,18,69.01,GA
AGT0088,305,2,7715,0.497,2,23,61.94,MI
AGT0072,103,6,4630,0.639,14,7,50.87,TX
AGT0186,21,15,5660,0.584,2,2,64.27,MI
AGT0178,76,22,9326,0.596,1,4,58.05,IL
AGT0148,112,11,15122,0.419,11,17,69.05,GA
AGT0193,296,18,11343,0.654,2,7,61.62,NC
AGT0110,108,27,11326,0.462,6,18,70.19,FL
AGT0034,403,17,12427,0.695,5,12,63.47,OH
AGT0127,324,22,5281,0.768,6,21,95.78,FL
AGT0005,107,14,2391,0.7,5,16,64.57,TX
AGT0084,495,7,1535,0.481,0,15,59.43,MI
AGT0167,354,10,17482,0.739,4,6,88.1,NC
AGT0037,436,10,17646,0.627,9,8,90.59,TX
AGT0112,339,16,7392,0.598,1,6,78.15,TX
AGT0156,333,4,15897,0.482,3,2,67.24,CA
AGT0151,246,22,5928,0.947,13,8,91.71,NY
AGT0119,331,4,6795,0.616,9,23,83.49,FL
AGT0067,385,21,14063,0.651,7,20,69.05,NC
AGT0049,493,14,18619,0.452,8,6,69.58,IL
AGT0032,301,22,12657,0.772,14,9,50.12,WA
AGT0148,379,5,19228,0.555,0,18,52.89,OH
AGT0053,473,6,19863,0.807,13,2,56.74,MI
AGT0130,309,7,1561,0.437,7,18,62.36,CA
AGT0010,384,23,8796,0.563,7,14,96.3,WA
AGT0059,102,7,9959,0.81,3,18,91.08,NY
AGT0078,444,10,4481,0.618,5,1,52.04,NY
AGT0155,489,4,5053,0.419,8,23,50.75,OH
AGT0020,187,6,19482,0.834,3,17,79.3,IL
AGT0095,444,25,4404,0.931,5,5,68.82,NY
AGT0093,407,3,10158,0.607,14,21,90.09,TX
AGT0065,124,27,10149,0.742,12,1,98.64,IL
AGT0160,496,24,13568,0.605,9,4,74.71,IL
AGT0197,296,28,11406,0.705,4,19,58.87,TX
AGT0010,90,18,1803,0.806,12,21,94.64,NC
AGT0187,62,20,9565,0.748,12,3,71.11,TX
AGT0180,260,25,7381,0.573,14,17,70.86,CA
AGT0169,265,21,3440,0.507,10,20,85.2,NY
AGT0025,432,16,19757,0.699,3,3,68.5,NY
AGT0078,260,12,11266,0.763,5,2,61.74,FL
AGT0132,204,25,19323,0.716,13,6,87.08,WA
AGT0041,165,9,18398,0.47,1,6,59.29,OH
AGT0049,259,16,19698,0.595,11,6,51.96,TX
AGT0113,140,1,5501,0.81,7,20,74.88,OH
AGT0169,376,19,16654,0.481,6,5,51.7,FL
AGT0033,76,3,1766,0.886,2,13,89.55,WA
