POLICY_NUMBER,CUSTOMER_ID,AGENT_ID,INSURANCE_TYPE,POLICY_EFF_DT,PREMIUM_AMOUNT,RISK_SEGMENTATION,CLAIM_STATUS,STATE,IS_FRAUD
POL000640,CUST00640,AGT0066,Life,2017-12-10,4636,Low,Approved,MI,0
POL000641,CUST00641,AGT0099,Travel,2016-10-31,4291,Low,Rejected,OH,0
POL000642,CUST00642,AGT0018,Health,2015-06-06,646,High,Rejected,IL,0
POL000643,CUST00643,AGT0159,Health,2021-07-18,4788,Low,Rejected,NY,1
POL000644,CUST00644,AGT0127,Health,2015-05-02,801,Low,Under Investigation,IL,0
POL000645,CUST00645,AGT0171,Life,2019-05-11,619,Low,Rejected,CA,0
POL000646,CUST00646,AGT0173,Travel,2018-07-15,2314,Low,Approved,TX,0
POL000647,CUST00647,AGT0071,Health,2023-09-15,3856,Medium,Approved,NC,1
POL000648,CUST00648,AGT0009,Auto,2023-05-15,861,Low,Rejected,NY,0
POL000649,CUST00649,AGT0070,Life,2022-05-10,1818,Low,Approved,MI,0
POL000650,CUST00650,AGT0030,Home,2021-07-29,1682,Medium,Approved,NY,1
POL000651,CUST00651,AGT0107,Health,2019-11-19,2288,Low,Rejected,WA,0
POL000652,CUST00652,AGT0030,Auto,2018-02-21,4937,High,Approved,TX,0
POL000653,CUST00653,AGT0185,Travel,2016-07-01,1991,High,Rejected,TX,0
POL000654,CUST00654,AGT0121,Travel,2023-09-17,1440,Low,Approved,OH,0
POL000655,CUST00655,AGT0051,Life,2018-06-18,1050,Low,Approved,MI,0
POL000656,CUST00656,AGT0185,Home,2018-11-09,1391,Low,Approved,TX,0
POL000657,CUST00657,AGT0154,Health,2016-04-08,1099,Low,Rejected,OH,0
POL000658,CUST00658,AGT0088,Home,2017-06-28,3081,Low,Rejected,FL,0
POL000659,CUST00659,AGT0030,Auto,2020-09-16,2392,Medium,Approved,NC,0
POL000660,CUST00660,AGT0069,Health,2018-11-01,2740,Low,Approved,OH,0
POL000661,CUST00661,AGT0117,Home,2020-04-09,4244,Low,Approved,GA,0
POL000662,CUST00662,AGT0154,Home,2016-11-26,3111,Low,Rejected,FL,0
POL000663,CUST00663,AGT0053,Auto,2015-09-27,1198,High,Under Investigation,FL,0
POL000664,CUST00664,AGT0149,Travel,2022-12-20,2195,High,Rejected,GA,1
POL000665,CUST00665,AGT0057,Health,2018-11-20,1906,Low,Approved,NY,0
POL000666,CUST00666,AGT0050,Home,2018-04-01,4220,Medium,Rejected,GA,0
POL000667,CUST00667,AGT0090,Home,2017-07-29,1881,Low,Approved,TX,0
POL000668,CUST00668,AGT0033,Home,2020-12-02,1123,Medium,Approved,NY,0
POL000669,CUST00669,AGT0081,Travel,2020-01-25,3812,Medium,Approved,TX,0
POL000670,CUST00670,AGT0072,Life,2018-07-02,2427,High,Approved,CA,0
POL000671,CUST00671,AGT0057,Travel,2023-05-18,931,Low,Approved,FL,1
POL000672,CUST00672,AGT0156,Health,2023-02-11,3603,Low,Rejected,IL,0
POL000673,CUST00673,AGT0067,Health,2016-10-14,1447,High,Approved,TX,0
POL000674,CUST00674,AGT0140,Home,2020-10-11,4407,Low,Rejected,CA,0
POL000675,CUST00675,AGT0145,Home,2023-09-18,4246,Low,Under Investigation,MI,0
POL000676,CUST00676,AGT0134,Health,2019-05-24,2163,Medium,Approved,OH,0
POL000677,CUST00677,AGT0054,Home,2015-04-10,3000,Medium,Approved,NC,0
POL000678,CUST00678,AGT0166,Auto,2016-03-10,3054,Medium,Rejected,NC,0
POL000679,CUST00679,AGT0048,Home,2021-01-02,3440,Medium,Approved,TX,1
POL000680,CUST00680,AGT0056,Life,2023-02-11,811,Medium,Approved,GA,0
POL000681,CUST00681,AGT0175,Home,2016-02-26,1961,Low,Approved,MI,1
POL000682,CUST00682,AGT0068,Travel,2019-12-02,1266,Medium,Rejected,IL,0
POL000683,CUST00683,AGT0140,Travel,2019-06-21,3638,Medium,Rejected,MI,1
POL000684,CUST00684,AGT0009,Travel,2017-07-25,811,High,Rejected,WA,0
POL000685,CUST00685,AGT0123,Auto,2020-09-06,2826,Low,Rejected,OH,0
POL000686,CUST00686,AGT0174,Travel,2022-11-24,3775,Low,Approved,TX,0
POL000687,CUST00687,AGT0142,Health,2017-02-25,4767,Medium,Rejected,GA,0
POL000688,CUST00688,AGT0117,Home,2015-06-28,1796,Low,Under Investigation,MI,0
POL000689,CUST00689,AGT0170,Home,2018-03-25,535,Low,Approved,OH,0
POL000690,CUST00690,AGT0060,Health,2017-10-29,3756,Medium,Under Investigation,MI,0
POL000691,CUST00691,AGT0076,Travel,2021-07-17,506,Medium,Under Investigation,OH,0
POL000692,CUST00692,AGT0014,Life,2019-10-31,798,Low,Approved,IL,0
POL000693,CUST00693,AGT0140,Travel,2015-02-28,4957,Low,Approved,WA,0
POL000694,CUST00694,AGT0145,Travel,2018-01-21,4381,Low,Approved,TX,0
POL000695,CUST00695,AGT0151,Home,2021-08-12,3683,Medium,Rejected,IL,0
POL000696,CUST00696,AGT0150,Life,2019-04-16,4259,Low,Approved,TX,0
POL000697,CUST00697,AGT0026,Home,2020-01-24,839,Low,Approved,GA,0
POL000698,CUST00698,AGT0134,Home,2017-05-18,900,Low,Rejected,WA,0
POL000699,CUST00699,AGT0153,Life,2017-11-15,1853,Low,Under Investigation,WA,0
POL000700,CUST00700,AGT0041,Life,2016-03-03,606,Low,Rejected,FL,0
POL000701,CUST00701,AGT0096,Travel,2015-09-26,4497,Low,Rejected,NC,0
POL000702,CUST00702,AGT0183,Life,2015-05-02,753,Medium,Approved,MI,0
POL000703,CUST00703,AGT0083,Life,2020-08-13,2948,Low,Approved,MI,0
POL000704,CUST00704,AGT0151,Travel,2016-06-02,4341,Low,Rejected,OH,0
POL000705,CUST00705,AGT0107,Auto,2020-02-29,3807,Low,Approved,TX,0
POL000706,CUST00706,AGT0132,Life,2023-07-29,1556,Low,Approved,IL,0
POL000707,CUST00707,AGT0126,Health,2021-04-10,2616,Low,Under Investigation,NC,0
POL000708,CUST00708,AGT0131,Home,2020-03-05,2967,Low,Approved,GA,0
POL000709,CUST00709,AGT0156,Life,2016-01-20,3955,Low,Rejected,NY,0
POL000710,CUST00710,AGT0181,Health,2019-05-26,2418,Low,Rejected,FL,0
POL000711,CUST00711,AGT0060,Travel,2023-01-07,1782,Medium,Rejected,GA,0
POL000712,CUST00712,AGT0186,Home,2018-06-16,4079,Low,Approved,IL,0
POL000713,CUST00713,AGT0126,Health,2022-06-07,4489,Medium,Approved,IL,0
POL000714,CUST00714,AGT0120,Health,2021-05-16,2700,Medium,Approved,WA,0
POL000715,CUST00715,AGT0066,Home,2017-05-26,626,Low,Rejected,CA,0
POL000716,CUST00716,AGT0084,Travel,2016-04-09,2752,Low,Approved,FL,0
POL000717,CUST00717,AGT0131,Auto,2015-02-25,4501,Low,Approved,WA,0
POL000718,CUST00718,AGT0073,Home,2017-06-26,4950,Low,Rejected,WA,1
POL000719,CUST00719,AGT0058,Travel,2017-12-29,2304,Medium,Approved,NY,0
POL000720,CUST00720,AGT0164,Home,2020-11-25,1175,Low,Approved,WA,0
POL000721,CUST00721,AGT0084,Home,2020-02-25,3074,Medium,Approved,FL,0
POL000722,CUST00722,AGT0129,Health,2019-04-24,4238,Low,Approved,CA,0
POL000723,CUST00723,AGT0007,Auto,2021-07-03,4752,Medium,Approved,NY,1
POL000724,CUST00724,AGT0016,Life,2021-12-05,732,Medium,Approved,OH,0
POL000725,CUST00725,AGT0170,Travel,2021-06-02,1807,Medium,Under Investigation,CA,1
POL000726,CUST00726,AGT0029,Home,2023-01-26,2649,High,Under Investigation,TX,1
POL000727,CUST00727,AGT0160,Home,2018-03-28,942,High,Rejected,NC,0
POL000728,CUST00728,AGT0181,Auto,2022-05-29,4488,Low,Rejected,GA,1
POL000729,CUST00729,AGT0097,Travel,2018-10-14,1004,Low,Rejected,GA,0
POL000730,CUST00730,AGT0177,Travel,2016-08-28,3493,Low,Under Investigation,WA,0
POL000731,CUST00731,AGT0086,Travel,2016-04-24,4633,Low,Approved,FL,0
POL000732,CUST00732,AGT0191,Health,2015-10-28,3583,Medium,Approved,MI,1
POL000733,CUST00733,AGT0048,Life,2023-08-07,3934,Low,Rejected,NY,1
POL000734,CUST00734,AGT0086,Home,2016-07-10,1684,Low,Under Investigation,WA,0
POL000735,CUST00735,AGT0078,Health,2022-07-07,4223,Medium,Approved,NC,1
POL000736,CUST00736,AGT0157,Health,2022-01-18,2383,Low,Approved,FL,0
POL000737,CUST00737,AGT0009,Health,2018-12-14,775,Medium,Approved,FL,0
POL000738,CUST00738,AGT0166,Home,2023-03-22,2149,Low,Approved,OH,0
POL000739,CUST00739,AGT0005,Auto,2023-03-04,2074,Medium,Rejected,OH,0
POL000740,CUST00740,AGT0064,Life,2023-04-30,2846,Medium,Approved,FL,0
POL000741,CUST00741,AGT0120,Home,2019-06-21,1691,Low,Under Investigation,FL,1
POL000742,CUST00742,AGT0030,Travel,2017-09-06,2580,Medium,Rejected,MI,1
POL000743,CUST00743,AGT0099,Health,2015-05-24,2425,Low,Approved,NC,0
POL000744,CUST00744,AGT0200,Auto,2022-07-24,1971,Medium,Rejected,TX,1
POL000745,CUST00745,AGT0165,Health,2022-11-08,3633,Medium,Rejected,NC,0
POL000746,CUST00746,AGT0007,Travel,2019-10-29,1874,Low,Approved,TX,0
POL000747,CUST00747,AGT0119,Health,2015-08-22,3946,Medium,Approved,IL,0
POL000748,CUST00748,AGT0120,Life,2022-05-27,1628,High,Rejected,CA,0
POL000749,CUST00749,AGT0014,Travel,2017-09-07,4391,Medium,Approved,GA,0
POL000750,CUST00750,AGT0131,Health,2019-12-07,2142,Medium,Approved,TX,0
POL000751,CUST00751,AGT0105,Life,2020-12-06,683,Medium,Approved,FL,0
POL000752,CUST00752,AGT0137,Health,2016-04-24,1174,Low,Approved,TX,0
POL000753,CUST00753,AGT0060,Health,2015-07-26,4128,Medium,Rejected,TX,0
POL000754,CUST00754,AGT0052,Health,2015-09-18,4424,Medium,Approved,CA,0
POL000755,CUST00755,AGT0148,Life,2023-08-18,1453,Low,Rejected,OH,0
POL000756,CUST00756,AGT0145,Travel,2023-08-12,3209,Low,Approved,MI,0
POL000757,CUST00757,AGT0033,Health,2018-11-03,3084,Low,Rejected,NY,0
POL000758,CUST00758,AGT0044,Health,2018-10-31,1102,Low,Approved,NC,0
POL000759,CUST00759,AGT0118,Travel,2018-08-29,2533,Low,Under Investigation,OH,1
POL000760,CUST00760,AGT0166,Home,2018-02-25,3622,Low,Under Investigation,FL,0
POL000761,CUST00761,AGT0041,Home,2019-11-22,4852,Medium,Approved,CA,0
POL000762,CUST00762,AGT0044,Life,2018-03-16,4314,Low,Rejected,NC,0
POL000763,CUST00763,AGT0162,Auto,2020-07-17,940,Low,Approved,CA,1
POL000764,CUST00764,AGT0140,Travel,2018-05-30,1568,Medium,Rejected,IL,1
POL000765,CUST00765,AGT0181,Health,2020-08-31,2465,Low,Rejected,CA,0
POL000766,CUST00766,AGT0157,Life,2023-07-03,1177,Low,Approved,NC,1
POL000767,CUST00767,AGT0191,Home,2016-11-07,3068,Medium,Approved,WA,0
POL000768,CUST00768,AGT0038,Life,2015-07-26,538,High,Approved,NY,1
POL000769,CUST00769,AGT0055,Life,2019-09-27,1010,Medium,Rejected,NY,1
POL000770,CUST00770,AGT0048,Auto,2016-01-27,712,Low,Rejected,OH,0
POL000771,CUST00771,AGT0012,Auto,2017-01-30,1829,Low,Approved,OH,0
POL000772,CUST00772,AGT0156,Travel,2022-02-07,3930,High,Approved,NY,0
POL000773,CUST00773,AGT0133,Home,2018-10-05,1297,Medium,Approved,NY,0
POL000774,CUST00774,AGT0018,Health,2019-12-11,4942,Medium,Approved,TX,0
POL000775,CUST00775,AGT0040,Auto,2021-12-25,1712,Medium,Approved,FL,1
POL000776,CUST00776,AGT0039,Auto,2016-02-27,701,Low,Approved,OH,0
POL000777,CUST00777,AGT0081,Travel,2019-04-22,2009,Low,Under Investigation,NC,0
POL000778,CUST00778,AGT0092,Travel,2015-04-24,3866,Medium,Approved,NC,0
POL000779,CUST00779,AGT0058,Health,2019-06-29,979,High,Rejected,OH,0
POL000780,CUST00780,AGT0187,Health,2017-01-06,823,Low,Approved,NC,0
POL000781,CUST00781,AGT0043,Home,2023-03-14,4322,Medium,Approved,OH,0
POL000782,CUST00782,AGT0113,Auto,2017-05-07,3164,Low,Rejected,NY,0
POL000783,CUST00783,AGT0088,Home,2016-10-19,2044,High,Approved,NY,0
POL000784,CUST00784,AGT0078,Life,2015-02-16,3902,Low,Approved,OH,0
POL000785,CUST00785,AGT0166,Travel,2016-03-13,4299,Medium,Under Investigation,NY,0
POL000786,CUST00786,AGT0196,Health,2016-12-11,2116,Low,Under Investigation,NC,0
POL000787,CUST00787,AGT0002,Auto,2017-01-19,3025,Medium,Rejected,TX,0
POL000788,CUST00788,AGT0093,Auto,2021-08-23,549,Medium,Approved,CA,0
POL000789,CUST00789,AGT0024,Health,2022-12-26,1877,Low,Approved,IL,0
POL000790,CUST00790,AGT0087,Life,2022-09-11,3178,Medium,Approved,CA,0
POL000791,CUST00791,AGT0124,Auto,2023-08-09,1386,High,Under Investigation,TX,0
POL000792,CUST00792,AGT0083,Life,2023-01-30,4960,High,Rejected,NY,0
POL000793,CUST00793,AGT0062,Home,2019-02-05,4870,Low,Approved,CA,0
POL000794,CUST00794,AGT0063,Life,2018-07-05,1659,Medium,Under Investigation,FL,1
POL000795,CUST00795,AGT0060,Home,2020-11-03,2283,Medium,Approved,OH,1
POL000796,CUST00796,AGT0066,Auto,2017-11-15,1352,Medium,Approved,NY,0
POL000797,CUST00797,AGT0075,Auto,2020-06-06,2767,Low,Approved,MI,1
POL000798,CUST00798,AGT0138,Home,2023-12-30,1057,Medium,Approved,CA,0
POL000799,CUST00799,AGT0020,Home,2016-10-13,2259,Low,Under Investigation,NC,0
POL000800,CUST00800,AGT0009,Travel,2021-12-03,2998,Low,Under Investigation,OH,0
POL000801,CUST00801,AGT0104,Travel,2023-06-02,3253,Low,Approved,GA,0
POL000802,CUST00802,AGT0137,Auto,2019-11-01,3184,Low,Approved,GA,0
POL000803,CUST00803,AGT0052,Health,2018-03-15,1496,Low,Approved,CA,0
POL000804,CUST00804,AGT0041,Health,2017-04-17,4065,Low,Approved,NC,0
POL000805,CUST00805,AGT0125,Auto,2016-07-06,3612,Medium,Approved,NY,1
POL000806,CUST00806,AGT0077,Auto,2017-11-21,3888,Medium,Approved,GA,1
POL000807,CUST00807,AGT0148,Auto,2021-09-19,2605,Low,Approved,FL,0
POL000808,CUST00808,AGT0030,Home,2019-08-21,4516,Medium,Approved,NY,0
POL000809,CUST00809,AGT0025,Auto,2016-12-28,2254,High,Approved,NC,0
POL000810,CUST00810,AGT0111,Auto,2019-11-17,4125,High,Under Investigation,WA,0
POL000811,CUST00811,AGT0079,Auto,2022-04-12,1415,Medium,Approved,MI,1
POL000812,CUST00812,AGT0146,Life,2015-02-14,1612,High,Approved,NC,1
POL000813,CUST00813,AGT0102,Life,2015-03-09,2870,Medium,Approved,OH,0
POL000814,CUST00814,AGT0071,Travel,2023-08-19,3001,High,Rejected,OH,0
POL000815,CUST00815,AGT0032,Auto,2021-09-24,3857,High,Approved,WA,1
POL000816,CUST00816,AGT0033,Health,2020-03-06,1838,Low,Approved,FL,0
POL000817,CUST00817,AGT0152,Home,2023-02-25,4426,High,Rejected,WA,0
POL000818,CUST00818,AGT0046,Life,2020-04-19,1984,Medium,Rejected,GA,0
POL000819,CUST00819,AGT0101,Auto,2019-09-08,2903,Medium,Approved,GA,0
POL000820,CUST00820,AGT0164,Health,2016-11-25,4693,High,Approved,OH,0
POL000821,CUST00821,AGT0180,Home,2022-04-17,2927,Low,Under Investigation,MI,1
POL000822,CUST00822,AGT0054,Auto,2021-11-18,3568,Low,Approved,GA,0
POL000823,CUST00823,AGT0022,Health,2017-08-29,4588,Medium,Approved,CA,0
POL000824,CUST00824,AGT0155,Life,2021-08-19,4885,Medium,Approved,NC,0
POL000825,CUST00825,AGT0138,Home,2021-07-17,2747,High,Approved,NC,0
POL000826,CUST00826,AGT0067,Home,2015-11-09,2376,High,Rejected,WA,1
POL000827,CUST00827,AGT0119,Home,2016-06-11,1386,Medium,Rejected,WA,0
POL000828,CUST00828,AGT0038,Travel,2020-05-09,2918,High,Approved,WA,0
POL000829,CUST00829,AGT0141,Home,2020-08-11,4632,Low,Rejected,CA,0
POL000830,CUST00830,AGT0146,Home,2020-12-02,2692,High,Approved,GA,0
POL000831,CUST00831,AGT0060,Travel,2018-05-11,2068,Low,Rejected,WA,0
POL000832,CUST00832,AGT0094,Auto,2022-07-08,982,Medium,Approved,WA,0
POL000833,CUST00833,AGT0067,Auto,2019-01-04,2253,Low,Approved,OH,0
POL000834,CUST00834,AGT0007,Home,2016-11-08,1565,Medium,Rejected,WA,0
POL000835,CUST00835,AGT0026,Health,2016-01-14,4895,Low,Approved,MI,0
POL000836,CUST00836,AGT0192,Health,2022-11-23,2874,Low,Approved,CA,0
POL000837,CUST00837,AGT0092,Auto,2021-05-12,1116,Medium,Approved,MI,0
POL000838,CUST00838,AGT0030,Travel,2019-02-25,803,Medium,Rejected,GA,0
POL000839,CUST00839,AGT0009,Life,2016-11-18,4328,Low,Approved,OH,0
POL000840,CUST00840,AGT0071,Life,2015-11-14,4691,Medium,Rejected,TX,0
POL000841,CUST00841,AGT0197,Auto,2016-05-17,3933,Low,Rejected,WA,1
POL000842,CUST00842,AGT0077,Health,2015-12-14,1057,Low,Rejected,FL,0
POL000843,CUST00843,AGT0200,Life,2019-10-06,942,Low,Approved,IL,0
POL000844,CUST00844,AGT0098,Home,2016-10-11,1390,Medium,Rejected,FL,0
POL000845,CUST00845,AGT0153,Life,2016-02-24,3880,Medium,Approved,WA,1
POL000846,CUST00846,AGT0158,Life,2017-07-18,3943,Medium,Under Investigation,IL,0
POL000847,CUST00847,AGT0006,Home,2021-04-17,4270,Medium,Rejected,TX,0
POL000848,CUST00848,AGT0002,Life,2019-06-20,936,Medium,Approved,CA,0
POL000849,CUST00849,AGT0185,Health,2016-05-20,1189,Medium,Rejected,WA,1
POL000850,CUST00850,AGT0187,Auto,2021-09-26,4551,High,Approved,FL,0
POL000851,CUST00851,AGT0027,Travel,2019-05-28,4679,Low,Approved,NC,0
POL000852,CUST00852,AGT0130,Auto,2016-09-05,3765,Low,Approved,CA,0
POL000853,CUST00853,AGT0185,Health,2021-03-21,977,Low,Rejected,MI,0
POL000854,CUST00854,AGT0191,Auto,2023-12-06,808,Medium,Rejected,GA,0
POL000855,CUST00855,AGT0060,Health,2019-11-11,750,Medium,Under Investigation,FL,0
POL000856,CUST00856,AGT0164,Health,2016-06-14,3613,Low,Approved,MI,0
POL000857,CUST00857,AGT0130,Auto,2017-10-14,4306,High,Rejected,FL,0
POL000858,CUST00858,AGT0186,Home,2020-05-23,3342,High,Rejected,WA,0
POL000859,CUST00859,AGT0030,Travel,2023-12-28,1679,Low,Rejected,OH,0
POL000860,CUST00860,AGT0121,Auto,2023-05-11,3908,Low,Approved,IL,0
POL000861,CUST00861,AGT0005,Travel,2023-05-25,766,Low,Approved,CA,0
POL000862,CUST00862,AGT0072,Home,2022-06-28,4226,Low,Rejected,FL,0
POL000863,CUST00863,AGT0003,Home,2020-03-03,4513,High,Approved,CA,0
POL000864,CUST00864,AGT0089,Home,2020-10-29,3732,Medium,Approved,MI,0
POL000865,CUST00865,AGT0163,Health,2021-08-08,4456,Low,Approved,TX,1
POL000866,CUST00866,AGT0132,Auto,2021-06-09,3137,Low,Approved,TX,0
POL000867,CUST00867,AGT0064,Home,2020-09-29,2607,Low,Approved,TX,0
POL000868,CUST00868,AGT0086,Travel,2016-03-16,1951,Low,Approved,WA,0
POL000869,CUST00869,AGT0074,Home,2022-11-30,4647,Low,Rejected,WA,1
POL000870,CUST00870,AGT0147,Home,2015-02-01,3637,Medium,Under Investigation,NC,0
POL000871,CUST00871,AGT0054,Life,2018-10-31,1357,Medium,Approved,CA,0
POL000872,CUST00872,AGT0019,Health,2018-11-27,4806,High,Approved,OH,1
POL000873,CUST00873,AGT0102,Auto,2023-12-18,766,Low,Rejected,WA,0
POL000874,CUST00874,AGT0166,Home,2015-10-22,3143,Medium,Approved,CA,0
POL000875,CUST00875,AGT0096,Travel,2019-04-13,1357,Low,Under Investigation,NC,0
POL000876,CUST00876,AGT0041,Health,2018-03-21,3489,Low,Approved,CA,0
POL000877,CUST00877,AGT0010,Travel,2015-11-18,2356,High,Approved,MI,0
POL000878,CUST00878,AGT0189,Travel,2017-01-05,2467,Medium,Approved,OH,0
POL000879,CUST00879,AGT0153,Health,2018-10-18,3521,Low,Approved,MI,0
POL000880,CUST00880,AGT0032,Home,2023-03-31,3902,Low,Rejected,IL,0
POL000881,CUST00881,AGT0015,Life,2018-06-29,2210,Medium,Approved,NC,0
POL000882,CUST00882,AGT0026,Home,2022-12-01,4989,High,Under Investigation,MI,0
POL000883,CUST00883,AGT0076,Life,2021-08-08,2743,Medium,Rejected,NY,0
POL000884,CUST00884,AGT0163,Travel,2022-05-15,1221,Low,Under Investigation,GA,0
POL000885,CUST00885,AGT0032,Life,2022-09-06,528,Low,Under Investigation,IL,0
POL000886,CUST00886,AGT0164,Travel,2021-06-04,1410,Low,Approved,IL,0
POL000887,CUST00887,AGT0001,Travel,2021-08-07,3609,Low,Approved,NC,0
POL000888,CUST00888,AGT0148,Travel,2016-05-21,2927,Medium,Rejected,FL,1
POL000889,CUST00889,AGT0057,Travel,2021-06-14,2020,Medium,Approved,TX,0
POL000890,CUST00890,AGT0193,Health,2015-06-08,2666,Low,Approved,IL,0
POL000891,CUST00891,AGT0096,Auto,2021-08-20,4271,Medium,Approved,MI,0
POL000892,CUST00892,AGT0055,Auto,2020-11-18,3072,Medium,Approved,TX,0
POL000893,CUST00893,AGT0049,Health,2021-10-23,761,Medium,Under Investigation,NY,0
POL000894,CUST00894,AGT0166,Life,2020-10-11,720,Low,Approved,GA,1
POL000895,CUST00895,AGT0081,Home,2018-04-26,2669,Low,Rejected,IL,0
POL000896,CUST00896,AGT0071,Home,2018-04-28,2319,Low,Under Investigation,GA,0
POL000897,CUST00897,AGT0148,Auto,2020-05-12,4327,Low,Approved,OH,0
POL000898,CUST00898,AGT0108,Life,2019-04-03,3123,Low,Rejected,MI,0
POL000899,CUST00899,AGT0133,Health,2018-01-24,3905,Low,Approved,MI,0
POL000900,CUST00900,AGT0090,Life,2019-05-27,3133,Low,Approved,IL,0
POL000901,CUST00901,AGT0013,Auto,2019-10-30,2053,Low,Approved,IL,0
POL000902,CUST00902,AGT0002,Health,2017-02-27,3458,High,Approved,FL,0
POL000903,CUST00903,AGT0008,Auto,2020-09-28,3296,Medium,Approved,IL,1
POL000904,CUST00904,AGT0115,Health,2017-10-29,3740,Low,Approved,MI,0
POL000905,CUST00905,AGT0103,Travel,2017-05-29,1351,High,Approved,OH,0
POL000906,CUST00906,AGT0150,Home,2018-10-06,3386,Low,Approved,GA,0
POL000907,CUST00907,AGT0179,Home,2015-12-06,1784,Low,Rejected,IL,0
POL000908,CUST00908,AGT0035,Health,2020-06-05,4056,Medium,Approved,NC,1
POL000909,CUST00909,AGT0192,Health,2021-08-06,4093,Low,Rejected,NC,0
POL000910,CUST00910,AGT0187,Life,2023-08-07,3311,Low,Under Investigation,OH,0
POL000911,CUST00911,AGT0124,Travel,2017-07-20,4760,Low,Rejected,WA,0
POL000912,CUST00912,AGT0107,Life,2019-11-05,2918,Medium,Approved,MI,0
POL000913,CUST00913,AGT0036,Life,2019-07-13,613,Medium,Rejected,TX,0
POL000914,CUST00914,AGT0036,Home,2021-07-30,3227,Low,Rejected,FL,0
POL000915,CUST00915,AGT0004,Auto,2020-08-15,3999,Low,Under Investigation,WA,0
POL000916,CUST00916,AGT0130,Life,2022-04-05,955,Low,Under Investigation,IL,0
POL000917,CUST00917,AGT0087,Travel,2022-08-27,970,Medium,Approved,NY,1
POL000918,CUST00918,AGT0039,Home,2016-01-08,1729,Low,Rejected,NC,1
POL000919,CUST00919,AGT0027,Auto,2018-03-12,4299,High,Rejected,GA,0
POL000920,CUST00920,AGT0013,Life,2020-11-16,2873,Medium,Approved,TX,0
POL000921,CUST00921,AGT0129,Travel,2019-11-22,4893,Low,Approved,CA,1
POL000922,CUST00922,AGT0138,Health,2019-05-04,4428,Medium,Rejected,MI,0
POL000923,CUST00923,AGT0127,Auto,2016-07-23,2996,Low,Rejected,NC,0
POL000924,CUST00924,AGT0023,Life,2020-02-25,3555,Low,Approved,NY,0
POL000925,CUST00925,AGT0009,Health,2021-08-30,1989,Low,Approved,MI,0
POL000926,CUST00926,AGT0022,Life,2015-05-07,906,Low,Approved,TX,0
POL000927,CUST00927,AGT0151,Life,2020-04-27,2294,Medium,Approved,MI,0
POL000928,CUST00928,AGT0148,Health,2023-02-25,3165,High,Under Investigation,CA,0
POL000929,CUST00929,AGT0059,Auto,2020-02-29,1319,Low,Under Investigation,GA,0
POL000930,CUST00930,AGT0012,Home,2023-07-28,1497,Low,Approved,MI,0
POL000931,CUST00931,AGT0064,Home,2018-03-04,567,Medium,Approved,GA,0
POL000932,CUST00932,AGT0162,Travel,2015-01-12,3803,Low,Rejected,NC,0
POL000933,CUST00933,AGT0029,Health,2021-02-19,4547,Low,Rejected,NY,0
POL000934,CUST00934,AGT0160,Health,2016-11-30,4223,High,Approved,FL,0
POL000935,CUST00935,AGT0093,Travel,2015-02-01,2209,Medium,Approved,FL,0
POL000936,CUST00936,AGT0029,Life,2016-08-15,3170,High,Approved,TX,0
POL000937,CUST00937,AGT0187,Life,2023-05-28,4823,Low,Rejected,FL,0
POL000938,CUST00938,AGT0104,Travel,2022-01-11,3161,Low,Rejected,FL,1
POL000939,CUST00939,AGT0135,Life,2017-06-22,1831,Low,Approved,NC,0
POL000940,CUST00940,AGT0020,Travel,2020-05-19,2023,High,Under Investigation,FL,1
POL000941,CUST00941,AGT0075,Life,2018-01-20,3772,Low,Rejected,TX,0
POL000942,CUST00942,AGT0127,Home,2016-08-05,2508,Low,Under Investigation,NC,0
POL000943,CUST00943,AGT0130,Auto,2023-11-22,4267,Low,Approved,OH,0
POL000944,CUST00944,AGT0013,Life,2022-04-28,4388,Medium,Approved,FL,0
POL000945,CUST00945,AGT0121,Life,2018-04-09,661,Medium,Under Investigation,NC,0
POL000946,CUST00946,AGT0189,Travel,2018-03-07,3754,Medium,Under Investigation,FL,0
POL000947,CUST00947,AGT0158,Life,2022-05-04,2164,Low,Under Investigation,NC,0
POL000948,CUST00948,AGT0042,Home,2019-02-23,2838,Medium,Rejected,CA,0
POL000949,CUST00949,AGT0183,Home,2018-05-23,1691,Low,Approved,OH,0
POL000950,CUST00950,AGT0137,Auto,2018-06-26,2157,Low,Approved,OH,0
POL000951,CUST00951,AGT0012,Auto,2019-01-08,1986,Low,Approved,NY,0
POL000952,CUST00952,AGT0026,Auto,2019-09-10,726,Medium,Under Investigation,GA,0
POL000953,CUST00953,AGT0185,Travel,2015-05-12,4022,Low,Approved,NY,0
POL000954,CUST00954,AGT0042,Life,2019-04-27,1143,High,Rejected,GA,0
POL000955,CUST00955,AGT0020,Health,2018-12-16,2191,Low,Under Investigation,FL,0
POL000956,CUST00956,AGT0091,Home,2017-06-21,1368,Low,Under Investigation,OH,0
POL000957,CUST00957,AGT0106,Home,2018-03-13,1222,Medium,Under Investigation,NC,0
POL000958,CUST00958,AGT0115,Health,2018-10-27,2180,Medium,Approved,WA,0
POL000959,CUST00959,AGT0132,Home,2018-04-17,4634,Low,Approved,NY,0
POL000960,CUST00960,AGT0200,Health,2023-03-04,4748,Medium,Under Investigation,IL,0
